Country	Record	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	
Albania	GDP_MilUSD	2.028554e+03	1.099559e+03	6.521750e+02	1.185315e+03	1.880952e+03	2.392765e+03	3.199643e+03	2.258516e+03	2.545967e+03	3.212119e+03	3.480355e+03	3.922099e+03	4.348070e+03	5.611492e+03	7.184681e+03	8.052076e+03	8.896074e+03	1.067732e+04	1.288135e+04	1.204422e+04	1.192693e+04	1.289077e+04	1.231983e+04	1.277622e+04	1.322814e+04	1.138685e+04	1.186120e+04	1.301969e+04	1.514702e+04	
Algeria	PBA_GgCO2eq	150000	154000	182000	179000	178000	190000	189000	169000	183000	166000	162000	152000	155000	165000	159000	179000	175000	181000	183000	190000	189000	190000	200000	204000	215000	221000	219000	219000	2.300472e+05	
Algeria	CBA_GgCO2eq	1.183338e+05	1.203972e+05	1.224607e+05	1.228666e+05	1.179663e+05	1.186957e+05	1.093935e+05	9.808507e+04	1.097201e+05	9.550154e+04	7.988473e+04	7.835500e+04	8.051020e+04	8.304775e+04	7.951891e+04	8.197109e+04	7.480132e+04	7.865774e+04	8.373294e+04	1.048388e+05	1.017559e+05	1.007685e+05	1.067118e+05	1.131259e+05	1.176586e+05	1.283835e+05	2.017512e+05	1.996287e+05	2.021827e+05	
Algeria	PBA_tCO2eqperCap	5.823207e+00	5.833333e+00	6.733758e+00	6.477059e+00	6.308925e+00	6.606857e+00	6.458006e+00	5.682009e+00	6.061008e+00	5.420762e+00	5.218736e+00	4.832761e+00	4.865798e+00	5.114059e+00	4.863575e+00	5.399698e+00	5.201986e+00	5.297509e+00	5.269068e+00	5.377257e+00	5.253356e+00	5.182619e+00	5.349882e+00	5.348715e+00	5.523584e+00	5.562827e+00	5.400607e+00	5.291261e+00	5.447740e+00	
Algeria	CBA_tCO2eqperCap	4.593882e+00	4.560501e+00	4.530881e+00	4.445891e+00	4.181128e+00	4.127399e+00	3.737903e+00	3.297753e+00	3.633959e+00	3.118621e+00	2.573440e+00	2.491257e+00	2.527396e+00	2.574007e+00	2.432366e+00	2.472733e+00	2.223516e+00	2.302155e+00	2.410899e+00	2.967081e+00	2.828359e+00	2.748658e+00	2.854479e+00	2.966071e+00	3.022779e+00	3.231562e+00	4.975245e+00	4.823231e+00	4.787883e+00	
Algeria	Population	25759000	26400000	27028000	27636000	28214000	28758000	29266000	29743000	30193000	30623000	31042000	31452000	31855000	32264000	32692000	33150000	33641000	34167000	34731000	35334000	35977000	36661000	37384000	38140000	38924000	39728000	40551000	41389000	42228000	
Algeria	PBA_GgCO2eqPerBnUSDGDP	2.417596e+03	3.368670e+03	3.791406e+03	3.583838e+03	4.184044e+03	4.549367e+03	4.026288e+03	3.507835e+03	3.797646e+03	3.412786e+03	2.956812e+03	2.776467e+03	2.730766e+03	2.431303e+03	1.863468e+03	1.734522e+03	1.495401e+03	1.340966e+03	1.070171e+03	1.384732e+03	1.172400e+03	9.499075e+02	9.566618e+02	9.725643e+02	1.005571e+03	1.331490e+03	1.368461e+03	1.308327e+03	1.323952e+03	
Algeria	CBA_GgCO2eqPerBnUSDGDP	1.907222e+03	2.633627e+03	2.551088e+03	2.459967e+03	2.772901e+03	2.842055e+03	2.330421e+03	2.035895e+03	2.276930e+03	1.963412e+03	1.458050e+03	1.431250e+03	1.418416e+03	1.223723e+03	9.319557e+02	7.943055e+02	6.391885e+02	5.827480e+02	4.896645e+02	7.640719e+02	6.312095e+02	5.037936e+02	5.104357e+02	5.393248e+02	5.502984e+02	7.734904e+02	1.260678e+03	1.192601e+03	1.163588e+03	
Algeria	GDP_MilUSD	6.204510e+04	4.571537e+04	4.800330e+04	4.994646e+04	4.254257e+04	4.176405e+04	4.694150e+04	4.817786e+04	4.818775e+04	4.864061e+04	5.478873e+04	5.474584e+04	5.676062e+04	6.786485e+04	8.532477e+04	1.031984e+05	1.170254e+05	1.349773e+05	1.710006e+05	1.372107e+05	1.612078e+05	2.000195e+05	2.090603e+05	2.097548e+05	2.138088e+05	1.659794e+05	1.600338e+05	1.673894e+05	1.737580e+05	
Andorra	PBA_GgCO2eq	476	485	494	505	509	537	569	580	593	611	624	624	631	634	661	677	645	641	639	617	621	593	587	580	566	567	574	577	577	
